,noisy_SMILES
76,CCOC(=O)C1=C(O)C(=Cc2oc(CNC(=O)C(=O)Nc3ccccc3)cc2)N=C1C                                                       
77,Ccccc12N=C(N3CCN(CCO)CC3)c4cscc4Oc2c1                                                                         
78,(=CONCCCCCNC(=O)C=C1CC2C=Nc3ccccc3C(=O)N2C1)C=C4CC5C=Nc6ccccc6C(=O)N5C4                                       
79,Occcc1(NC(=O)C2CCN(CC(=O)N3CCN(CC3)c4ccc(cc4)c5ncccn5)C2)cc1C6CC6                                             
80,1OcCcccc(c1)C(=O)OC2CCCN(C)C2                                                                                 
81,CCc1cccc(N2C(=O)c3ccccc3C2(O)c4ccc5[nH]c(NC(=O)OC)nc5c4)c1F                                                   
82,cc1Occ(C=C(C#N)C(=O)NC2CCCCC2)cc1O                                                                            
83,CCCN1C(=O)N(CCC)c2[nH]c(nc2C1=O)c3ccc(OCc4noc(n4)c5cccc(F)c5)cc3                                              
84,CC(C)C1=Nc2c(C)nn(C)c2C3=NC(C)CN13                                                                            
85,CNcC)(1ccc(CC(=O)NCC2CCN(C)CC2)cc1                                                                            
86,1OcCccc(cc1)S(=O)(=O)NC(C)Cc2c[nH]c3ccccc23                                                                   
87,[ON][-+](=O)c1oc(cc1)C(=O)Nc2cccc(c2)N3CCOCC3                                                                 
88,(=CONC(N1C=NC=CC1=O)C(=O)c2ccccc2)c3ccccc3                                                                    
89,Cc(cc1c(O)c(c1)c2cc3cc(ccc3[nH]2)C(=N)N)c4ccccc4                                                              
90,CC(CO)N1CC(C)C(CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4ccc(NC(=O)C5CCCCC5)cc4CC1=O                                       
91,CCcCOC1ccc(CC2CCC(=O)NC2=O)cc1                                                                                
92,=C(ONC1CCC1)c2cc(Cc3nnc(O)c4CCCNc34)ccc2F                                                                     
93,COc1ccc(cc1C(=O)Nc2c(F)cccc2F)c3nc4cc(F)ccn4c3c5ccnc(Nc6cc(C)c(cc6OC)N7CCC(CCS(=O)(=O)C)CC7)n5                
94,(OCC=O)CCCCCCCC(=O)NC(CCCN=C(N)NS(=O)(=O)c1c(C)cc(OC)c(C)c1C)C(=O)NC(CC(C)C)C=O                               
95,CC1CCCCC(OC1CN2CCC(CC2)N3CC(C)OC(C)C3)C45CC6C(C)CCC6C7(CC4C=C(C(C)C)C57C(=O)O)C=O                             
96,1=COC(=Cc2cccs2)Cc3ccccc13                                                                                    
97,CCCC)(OC(=O)CCCCC(=O)OCC(C)C                                                                                  
98,CC1CCCCN1CC(=O)c2ccc3cc[nH]c3c2                                                                               
99,CC=P(OO)(OCC)C=CC(NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)c2ccccc2                                                  
100,1CNCC2=C(C(=O)OC2)C(C)(c3cc(OC)cc(OC)c3)c4cc(OC)c(OC)cc14                                                     
101,CNcc1Ccccc1Cc2cccc3ccccc23                                                                                    
102,nc1Oc(O)c2C(c3ccc(cc3)[N+](=O)[O-])c4c(O)nc(O)nc4Oc2n1                                                        
103,CCCCNC(=O)c1ccc(cc1)C2OOC(OO2)c3ccc(C)cc3                                                                     
104,=C(OO)c1ccccc1C=C2SC(=S)N(C2=O)c3ccc(cc3)C(F)(F)F                                                             
105,CC1Nc(cc(nc(C)n1)c2ccc3occ(C)c3c2)c4cccc(c4)c5cnc(nc5)N(C)C                                                   
106,cc1Ccc(NC(=O)c2cccc(N)c2)cc1C                                                                                 
107,OCcn1Cc(C2CCN(CCCCNC(=O)c3ccc(cc3)c4ccc(cc4)C#N)CC2)c5ccccc15                                                 
108,(OCC=O)C1C2CCC3CCC1C(=Cc4ccc(cc4)c5ccsc5)CN2C3                                                                
109,CCCCNC(=O)C(C)CC(O)C(N)CC(Cc1ccc(cc1OCC(=O)OCC)C(C)(C)C)C(C)C                                                 
110,COCC(=O)N(C)c1nnc(s1)c2cnccn2                                                                                 
111,CCO(=C)N1C(Cc2ccccc12)C(=O)NCCc3ccc(C)cc3                                                                     
112,CC(C)CC(C(=O)NO)C(=O)NC(C)C(=O)NCc1ccccc1                                                                     
113,Ccccc1(cc1)C(=O)NNC(=O)CSc2nc(N)cc(N)n2                                                                       
114,CC(C)(C)C(=O)c1c[nH]c2N=CC(=Nc3ccc(C=C(C#N)C(=O)N4CCCCC4)cc3)Nc12                                             
115,CNC(=C[N+](=O)[O-])NC1C(O)C(C)(C)Oc2ccc(cc12)C#N                                                              
116,(NCC=O)Nc1c(C)nc2c(OCc3ccccc3)cccn12                                                                          
117,CCCCCCCCCC(=O)NC1C(OC(=O)C)OC(COC(=O)C)C(OC(=O)C)C1OC(=O)C                                                    
118,cOCC1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3c4ccc(cc4nn3C)C5CCOCC5                                                   
119,OCnn1Ccc2C(CCCc12)NC(=O)NCCC3=CCCCC3                                                                          
120,PCOC(=O)(OCC)C(NC(=C(C#N)C(=O)N)SC)c1ccccc1F                                                                  
121,CCCC1CN(C(=O)C1CC(=O)Nc2ccccc2)c3ccc(OC)cc3                                                                   
122,(OCC=O)C12CC(CC(=O)N3CCC(CC3)c4ccccc4)C(=O)N(Cc5ccccc5)C1=CCC(C)(C)C2                                         
123,O=N(CC1NC(=O)c2ccccc2C1=O)OCC(=O)N3CCc4ccccc4C3                                                               
124,(CNCCC)CCN1C(=O)Oc2ccccc12                                                                                    
125,OC)=O(COc1ccc(cc1)[N+](=O)[O-]                                                                                
126,(OCC=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1                                                    
127,CNNCC1(CC1)S(=O)(=O)c2ccc(NC(=O)N3Sc4ccccc4C3=O)cc2                                                           
128,cCOC1ccc(CC(=O)NCC(=O)NCC2=CC(=O)N(C)C(=O)N2C)cc1                                                             
129,Ncnnc1c2c1ncn2C3CC(OCC(=O)O)C=C3                                                                              
130,cc1O(C=NCc2ccccc2)c3c4CCCCc4oc3cc1[N+](=O)[O-]                                                                
131,CS)=O((=O)C1CCN(Cc2cnc3c(CNC(=O)c4ccc(cc4)c5ccc(F)cc5)cccc3c2)CC1                                             
132,COCCNC(=O)c1ccc(cc1)N(C)S(=O)(=O)c2ccc(OC)c(OC)c2                                                             
133,CCCC)(S(=O)(=O)N1CCCC(C1)Nc2ncccc2c3cnc4[nH]ncc4n3                                                            
134,CCCCCCOc1ccccc1c2nnc(CNC)s2                                                                                   
135,CCCC)(C(NC(=O)C(NC(=O)C(N)CNC(=O)O)C(C)C)C(=O)NC(Cc1ccccc1)C(O)C(=O)Nc2cccc(c2)C(=O)O                         
136,cc1Fc2C(=O)C=CN(C3CC3)c2cc1N4CCN(CC4)C=O                                                                      
137,Cccc21(cc[n+]1Cc3ccccc3)c4ccc(OCC5CCCCC5)cc4n2CC6CCCCC6                                                       
138,(OPC=O)(OC)C(OC(=O)COc1ccccc1F)c2cccs2                                                                        
139,CCC=C1C2C(CCC2(C)O)C(C)(C)C1CCC3C(C)(O)CCC4OC(C)(C)C(=NOC(=O)c5ccccc5)CCC34C                                  
140,1=COCCCc2cc3CC4(Cc5ccccc5C4)Cc3cc12                                                                           
141,CC1CnCc(nc2ccccc12)C(C)NC(=O)c3ccccc3                                                                         
142,cCCC1c(OC(C(=O)O)c2ccccc2)ccc3c(noc13)C(F)(F)F                                                                
143,OC)=O(c1ccc(C=C(C#N)c2nc3ccccc3[nH]2)cc1                                                                      
144,COCC1=C(C#N)C(=O)N(CC(=O)Nc2ccccc2C(=O)OC)C(=C1)C                                                             
145,O=c(NC1ccccc1)c2nsnc2C(=O)Nc3ccccc3                                                                           
146,CC(C(=O)NCc1ccc(nc1N(C)C)C(F)(F)F)c2ccc(NS(=O)(=O)C)c(F)c2                                                    
147,Ccccc1c(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)ON5CCCC5C(=O)O)C2=O)c1                                          
148,C1CC(C1)Nc2ccc3nc(nn3c2)C4CCNCC4                                                                              
149,ON1Cc=cc[n+](CCCC[n+]2ccc(C=NO)cc2)cc1                                                                        
150,1OcCccc(cc1n2cnnn2)S(=O)(=O)NCCOc3ccccc3                                                                      
151,FC(F)(F)c1ccc2nc(N3CCN(CC3)c4ncccc4C(F)(F)F)n(Cc5ccccc5)c2c1                                                  
152,1OcCccc(OC2OC(CO)C(O)C2O)cc1                                                                                  
153,COc1ccccc1C(=O)CC(=O)C(=O)Nc2cccc(c2C)[N+](=O)[O-]                                                            
154,CCCCc1nc2cccc(C(=O)OCC3=C(C)OC(=O)O3)c2n1Cc4ccc(cc4)c5ccccc5c6nnnn6CC7=C(C)OC(=O)O7                           
155,OC)=O(C(Cc1c[nH]c2ccccc12)NC(=O)c3ccc4nc(c5occc5)c(nc4c3)c6occc6                                              
156,1CCC(O)C(O)CC(=CC=C2CCCC3(C)C(CC(C)CCCC(C)(C)O)CCC23)CC1O                                                     
157,CS(CCCNC(=O)OC(C)(C)C)c1oc(SCC(=O)Nc2c(C)cccc2C)nn1                                                           
158,NC(CC(=O)CN(C1CCCCC1)S(=O)(=O)C)c2ccccc2                                                                      
159,CC(C)(C)OC(=O)NCC(=O)n1nnc2ccccc12                                                                            
160,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c5ccc6OCOc6c5)C1=O                                                          
161,O=1(NCCCC2(CC1)CN(Cc3cccnc3)C(=O)CO2)c4cocc4                                                                  
162,1OcCcc(C(=O)NCCC(C)C)c(cc1OC)[N+](=O)[O-]                                                                     
163,CCCC)(C(NC(=O)C1CCCN1)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O                                                        
164,cCOC1cc(CN2CCC3(CC2C)CN(C)S(=O)(=O)N3c4cccc(F)c4)ccc1O                                                        
165,COc1cc(CNc2ccc(Cc3c[nH]c4ncc(C)cc34)c(F)n2)c(F)cn1                                                            
166,CCCCn1c(cn2c3C(=O)NC(=O)N(C)c3nc12)c4ccccc4                                                                   
167,CC=C(OO)c1c(C)[nH]c(C(=O)COC(=O)CCS(=O)(=O)c2ccc(C)cc2)c1C                                                    
168,1CCCCCCCN1C(=O)c2noc(C(C)C)c2[N+](=O)[O-]                                                                     
169,Cc2cc1c(NC3=C4C(=NN=CC4=CC(=NC5CCCCC5N)N3)O)cccc2[nH]1                                                        
170,1OcCccc(cc1)c2c(C)c(SC)c(C#N)c(N)c2C#N                                                                        
171,COc1ccccc1N2C(=Cc3cccc(C)c3C2=O)Cn4nc(c5cccc(O)c5)c6c(N)ncnc46                                                
172,CN(C)C1CCN(C1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4                                                       
173,O=C(NCc1ccc(cc1)c2occ(n2)C(=O)N3CCCCC3)c4cccs4                                                                
174,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(CC2CCNC2=O)C=O                                                               
175,O=C(CCCNS(=O)(=O)c1cccs1)NCCc2ccccc2                                                                          
176,1OcCcc2nc(nc(NC3CCCCCC3)c2cc1OC)N4CCCCC4                                                                      
177,CNO(=C)c1ccc(cc1C)n2cnc3c(NCC4CCOCC4)cc(Oc5cccc(F)c5F)cc23                                                    
178,(OCC=O)C1=C(CC2CCC1N2C(=O)NCc3ccc(OC)c(OC)c3)c4ccc(F)cc4OCc5ccccc5                                            
179,CC)(C1NC(C)(C)C(=C1)C(=O)NCCNC(=O)Cc2cccs2                                                                    
180,cc1Cnn(CC2CCCN2CCCc3oc4ccccc4n3)c1                                                                            
181,O=(1NCN=C(C1=C2CCCN2)c3ccc[nH]3)c4ccccc4                                                                      
182,cc1Fcccc1OCCCC(=O)NCCCC(=O)Nc2cn[nH]c2                                                                        
183,CCCN1C2CCC1c3c(C2)[nH]c4ccccc34                                                                               
184,CCCC(C)COc1ccc(cc1)C(NC(=O)C(C)C2CCCCC2)C(=O)OC                                                               
185,COc1cccc(C2C(=C(C)Nc3nc(nn23)c4ccccc4)C(=O)Nc5ccccc5)c1OC                                                     
186,cn1C(SCC(=O)NNC(=O)Cc2ccccc2)ncc1c3ccc(F)cc3                                                                  
187,CC(CN1CC(C)N1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2N)C4CC4                                                             
188,C(CC(c1ccccc1)(c2ccccc2)c3ccccc3)n4cnc5ccccc45                                                                
189,CC=C(CO)Nc1ccc2c(c1)nc(CN3CCN(CC3)C(=O)C)n2C                                                                  
190,cCCC1cc(Cc2cnc(N)nc2N)cc(OCCCCCC(=O)O)c1OC                                                                    
191,COnc1Cc2cc(cc(C(=Nc3ccccc3F)O)c2[nH]1)N=C(O)c4ccccc4C(F)(F)F                                                  
192,1CcCccccc1NC(=O)CCS(=O)(=O)c2ccc3N(CCCc3c2)C(=O)C                                                             
193,CCc(CN1cc(ccc1n2cc(CC(=O)O)c3ccc(C)nc23)C(F)(F)F)C(=O)COC                                                     
194,cc1Cc(C=O)c(C)n1C2CC2                                                                                         
195,Ccccc1(cc1)S(=O)(=O)N2C=CNC(=O)C2CC(=O)NC3CCCc4cc(CNC5CC5)ccc34                                               
196,CCCCN(C(=O)CC1CCCC1)C2=C(N)N(CCCC)C(=O)NC2=O                                                                  
197,CC+[N(](=O)[O-])C(C)(C)OCn1cc[n+](C)c1C=NO                                                                    
198,(C1CC)N(CCN2C(=O)C(=C(N=C12)C(=O)NCc3ccc(F)cc3)O)S(=O)(=O)C                                                   
199,COO(=C)C(CC(C)C)NC(=O)C(=O)OC                                                                                 
200,(CCCC)C(NC(=O)OC(C)(C)C)C(=O)N1C2CCCCC2CC1C(=O)NCc3ccc(cc3)C(=N)N                                             
201,COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3[N+](=O)[O-])N4C(=O)CC(C)C4=O                                                  
202,1CcCccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)C)c2c1                                                                   
203,[ON][-+](=O)c1ccc(C=NNC(=O)CSc2nnc(s2)c3ccccn3)cc1                                                            
204,1(cNccc(cc1)c2ocnc2)c3oc(cn3)c4ccccc4                                                                         
205,O=C1CC(NN2CCCCC2)C(=O)N1c3ccccc3                                                                              
206,(OCC=O)CCC(=O)Nc1sc(C)c(C)c1C(=O)N                                                                            
207,Cc2nc1ccccn2c1C(=O)C3=C(O)C(=O)N(CCN4CCOCC4)C3c5cccnc5                                                        
208,OC(CC(=O)CN1NC(=O)c2ccccc2C1=O)C(=O)Nc3ccc(F)cc3                                                              
209,CC=C(OO)C(=CC(C(C)C)N(C)C(=O)C(NC(=O)C(NC)C(C)(C)c1ccc(C)c(C)c1)C(C)(C)C)C                                    
210,cc1Fcc(c(Oc2cccnn2)c1)c3nccc4cc(ccc34)S(=O)(=O)Nc5nccs5                                                       
211,NC1Cc(ccc(cc1)S(=O)(=O)O)C(=O)NC(Cc2ccc(cc2)S(=O)(=O)O)C(=O)NC(Cc3ccc(cc3)S(=O)(=O)O)C(=O)O                   
212,CCNCC=CCNCC=CCNCC=CCNCC                                                                                       
213,FC(=C(c1ccccc1)c2ccc(OCCN3CCCC3)cc2)c4ccccc4                                                                  
214,1OcCccc(CCCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)c4ccc(NC(=O)CN(C)C)cc4)c1                                             
215,NC)(OCc1ccc2NS(=O)(=O)Nc2c1                                                                                   
216,SCCCc1nc(COC(=O)NC)c(COC(=O)NC)n1C                                                                            
217,CC(OC1C=CC1=O)C2CCCC=C2C                                                                                      
218,CC(C)CCN1N=C(C(=O)OC(C)C(=O)NC(=O)N)c2ccccc2C1=O                                                              
219,ONCC(=CN1CCN(CC1)c2ccccn2)c3ccccc3                                                                            
220,COCCNC(=O)c1ccc(nc1)C(=O)N2CCN(CC2)c3ncccc3NCC(C)C                                                            
221,COc1ccc(cc1N2C(=O)C=Cc3cc(ccc23)S(=O)(=O)Nc4ccon4)C#CC5CCCC5                                                  
222,=C(OO)c1cnn(c2nc(CCc3cccc(c3)C(F)(F)F)cs2)c1C(F)(F)F                                                          
223,COc1cccc(C(=O)OCCN2C(=O)c3ccccc3C2=O)c1OC                                                                     
224,CN1CC(=O)N=C1NC(=O)Nc2ccc(C)cn2                                                                               
225,CCCN(CCC)C(=O)CSC1=Nc2ccccc2C(=O)N1C3CCCC3                                                                    
226,(=CON1CCN(CC1)c2ccccc2)c3ccc4snnc4c3                                                                          
227,CC)=O(Nc1ccc(NC(=O)COC(=O)c2ccc(C)s2)cc1                                                                      
228,1OcCcccc(c1)C(C)NCc2ccc(OC)c(c2)c3ccc(cc3)C(F)(F)F                                                            
229,CCC1OC(=O)C(C)C(OC(=O)NCCc2ccccc2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(CC(C)C(=O)C(C)C(OC)C1(C)O)OC                
230,CN(C)CCCn1nc(C2=C(C(=O)NC2=O)c3cn(c4csc5ccccc45)c6ccccc36)c7ccccc17                                           
231,COc1cc2nc(C)oc2c(CC3(C)C(C)CCC4(C)C3CCCC4=C)c1O                                                               
232,1OcCccnc(NCC2CC(CN2C(=O)OCc3ccccc3)OCC(=O)NCC(NC(=O)c4c(C)cc(C)cc4C)C(=O)O)c1                                 
233,CCPCOC(=O)(CCCCC1(C(=O)NCCc2ccc(OC)cc2)c3ccccc3c4ccccc14)OCCCC                                                
234,1CNCC(=S)SC(=Cc2ccccc2O)C1=O                                                                                  
235,Occcc1(cc1)c2ccc3c(F)c(O)ccc3c2                                                                               
236,COCCN1CCn2c(cc3cc(OC4CCN(CC4)C(C)C)ccc23)C1=O                                                                 
237,Cc[cc1n+](cc1C)C2=C([N-]S(=O)(=O)c3cccs3)C(=O)c4ccccc4C2=O                                                    
238,(=CONC1CCCCN(Cc2ccccc2)C1)c3ccc4[nH]nc(c5ccncc5)c4c3                                                          
239,OC21CCC(CN(C(=O)Nc3ccc(F)cc3)c4ccccc24)N1C(=O)c5ccc(F)cc5                                                     
240,(OCC=O)c1oc(CSc2ncnc3c2nnn3c4ccc(F)cc4)cc1                                                                    
241,Fcccc1(cc1)c2cnn3C(=O)C=C(Nc23)c4ccccn4                                                                       
242,1=COOCc2nc3cc4OCOc4cc3c(c5ccc6OCOc6c5)c12                                                                     
243,CCC1CNN(CC1)c2cc(C)c3cc(NC(=O)c4ccccc4F)ccc3n2                                                                
244,CC1CC(C)CN(C1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3sccc3C(=O)N                                                          
245,Fcccc1cc1C=Nc2oc(nn2)C3=Cc4ccccc4OC3=O                                                                        
246,CCOC(=O)C1=C(N)Oc2ccc3ccccc3c2C1c4ccc(O)c(OC)c4                                                               
247,COc1ccc(CCNC(=O)COc2nsnc2N3CCOCC3)cc1OC                                                                       
248,1CcCccc(cc1)c2cn3c4ccc(cc4sc3n2)C(=O)NC5CCCCC5                                                                
249,CNCC)(=Cc1onc(C)c1S(=O)(=O)N2CCC(CC2)C(=O)Nc3ccc(C)cc3                                                        
250,cn1Cc(F)c(COc2ccc3nc(C4CCCCC4C(=O)O)n(Cc5ccc(OC(F)(F)F)cc5F)c3c2)n1                                           
251,C=C1CCC(CC1)c2nnn3cnc4[nH]ccc4c23                                                                             
252,CC(C)CN1CCCn2nc(CNC(=O)CN3CCOC3=O)cc2C1                                                                       
253,CC(C)(C)c1ccc(O)c(c1)C2(C(=O)Nc3ccccc23)c4ccc(O)cc4                                                           
254,cc1C(C(=O)C(=O)NCCC2=CCCCC2)c3ccccc3n1C                                                                       
255,CNCC)((=O)c1ccc(cc1)C2CN(CCO2)C3=NC(=CC(=O)N3C)c4ccncc4F                                                      
256,=C(OO)CC(NC(=O)c1ccccc1)C=O                                                                                   
